country,iso3,P_NP,<12,12-24m,>24,unknown,total
Montserrat,MSR,PW,22,,,,22
Morocco,MAR,NP,325,,,,325
Morocco,MAR,PW,17224,1690,293,,19207
Mozambique,MOZ,NP,45104,,,,45104
Mozambique,MOZ,PW,1064,239,95,,1398
Myanmar,MMR,NP,12583,,,,12583
Myanmar,MMR,PW,14099,1992,770,,16861
Nauru,NRU,PW,53,,,,53
Netherlands,NLD,PW,358,246,240,,844
New Caledonia,NCL,PW,184,13,4,,201
New Zealand,NZL,NP,5,,,,5
New Zealand,NZL,PW,741,443,65,,1249
Nicaragua,NIC,NP,,,,5254,5254
Nicaragua,NIC,PW,,87,45,4246,4378
Niger,NER,PW,,,,732,732
Nigeria,NGA,NP,30522,,,,30522
Nigeria,NGA,PW,30522,43,108,,30673
Northern Mariana Is.,MNP,PW,419,42,,,461
Norway,NOR,PW,4827,813,307,,5947
Oman,OMN,NP,2184,,,,2184
Oman,OMN,PW,20676,680,113,,21469
Pakistan,PAK,NP,491,,,,491
Pakistan,PAK,PW,16506,7150,,,30397
Panama,PAN,NP,405,,,,405
Panama,PAN,PW,,10274,,,10274
Papua New Guinea,PNG,PW,4,89,497,,590
Peru,PER,NP,2857,,,,2857
Peru,PER,PW,2412,1415,345,,4172
Philippines,PHL,NP,,,,292180,292180
Philippines,PHL,PW,,,,183998,183998
Poland,POL,PW,672,120,51,,843
Portugal,PRT,PW,7214,560,185,,7959
Puerto Rico,PRI,PW,669,1,,,670
Qatar,QAT,PW,93,387,,,480
Réunion,REU,PW,205,21,2,,228
Romania,ROU,PW,129,15,3,,147
Russian Federation,RUS,PW,2,364,1168,,1534
Rwanda,RWA,NP,1218,,,,1218
Saint Helena,SHN,PW,11,2,,,13
Saint Kitts and Nevis,KNA,PW,377,4,,,381
Saint Lucia,LCA,PW,815,7,,,822
Saint Vincent/Grenadines,VCT,PW,839,,,,839
Samoa,WSM,PW,63,10,1,,74
Sao Tome and Principe,STP,NP,1846,,,,1846
Sao Tome and Principe,STP,PW,528,,,,528
Saudi Arabia,SAU,PW,10145,1013,37,,11195
Senegal,SEN,NP,1429,,,,1429
Senegal,SEN,PW,8054,123,162,,8339
Serbia and Montenegro,SCG,NP,,,,160,160
Serbia and Montenegro,SCG,PW,2,10,1,293,306
Seychelles,SYC,PW,,24,57,,81
Sierra Leone,SLE,PW,7395,2,136,,7533
Singapore,SGP,PW,146,9,,,155
Slovenia,SVN,PW,157,13,,,170
